Feature,LR_Importance,RF_Importance,XGB_Importance,Type
loan_amnt,0.05874843045950955,0.20015814324540565,0.37773573,Traditional
int_rate,2.3947087003418135,3.6305567524901745,1.2689102,Traditional
installment,0.7825945008516284,0.2278863715467758,0.42192355,Traditional
annual_inc,0.937101465801873,0.17990999771132354,0.30278072,Traditional
dti,0.7808709279177778,0.19431812910058063,0.38746908,Traditional
delinq_2yrs,0.5448499541135859,2.8845391113618035,7.3267617,Traditional
open_acc,1.3477075198322825,0.1499612557437206,0.38323665,Traditional
pub_rec,0.16784448244091837,0.014205126513788522,0.35642913,Traditional
revol_bal,0.474577107967542,0.1186507010493853,0.29758713,Traditional
revol_util,0.9277784284232691,0.11430373021288932,0.33409002,Traditional
total_acc,0.7637736926625618,0.10267061157177405,0.30820724,Traditional
term_months,1.9629489449355382,1.8359184105937238,1.7019879,Traditional
payment_to_income_ratio,0.0907686878025005,0.29160955275877226,0.3823138,Traditional
total_interest_burden,1.081448905127984,0.7349389873567449,0.50232726,Traditional
credit_risk_score,0.6408033056975013,0.18188021014615602,0.32981804,Traditional
loan_to_income_ratio,0.08402780702718123,0.41220297026445635,0.47546187,Traditional
account_utilization,0.2532089717119168,0.13841344123163898,0.36461568,Traditional
emp_length_years,0.030414336056918213,0.20862360832101037,0.4167472,Traditional
grade_encoded,1.297436028843656,5.096472239383335,2.9440544,Traditional
has_delinquency,27.037711329323923,3.388030576167686,20.993076,Traditional
has_public_record,0.11289752242014889,0.00954349093397338,0.23237565,Traditional
emp_length_missing,0.38950478056176424,0.013982296785267417,0.4075847,Cybersecurity
app_edit_score,9.134530825852842,22.781891213673873,10.820945,Cybersecurity
login_irregularity_score,0.5908786921386311,0.5557069683665359,1.0462604,Cybersecurity
device_anomaly_flag,0.1811621414678313,0.9348619385559337,2.0328212,Cybersecurity
off_hours_application,1.6127761522982083,0.3373501264739401,6.6703253,Cybersecurity
rush_application,0.3002455228154182,1.16851204358517,6.702689,Cybersecurity
info_consistency_score,38.69540289301438,44.14606808386901,21.514051,Cybersecurity
behavioral_risk_composite,3.0576515499452066,9.639122879301672,7.048216,Cybersecurity
home_ownership_MORTGAGE,0.24280360761208575,0.08041031257555838,0.2973205,Traditional
home_ownership_OWN,0.15000729616755942,0.004350599818785572,0.25123996,Traditional
home_ownership_RENT,0.3449036196533496,0.06542771184265264,0.57772857,Traditional
verification_status_Source Verified,0.7642323716240447,0.04888592337994041,0.6058402,Traditional
verification_status_Verified,0.6530566242658903,0.07109382259671032,0.5517543,Traditional
purpose_credit_card,0.6153740370907436,0.013322794778738628,0.2740825,Traditional
purpose_debt_consolidation,0.581670384206051,0.021601295854580364,0.33970737,Traditional
purpose_home_improvement,0.40158244214190086,0.0007185455501951607,0.22253734,Traditional
purpose_major_purchase,0.4177775977231716,0.0006320742256503486,0.22978573,Traditional
purpose_other,0.094218411660898,0.0012679510606841038,0.29920143,Traditional
